DEPOSIT_NAME,CRITICAL_MINERAL,DEPOSIT_TYPE,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
Brockman,Beryllium,Volcanogenic-hosted Be,-22.42729,117.341301,Australia,
Poona,Beryllium,Non-pegmatite,-26.9666667,117.4666667,Australia,
Curlew,Beryllium,Non-pegmatite,-21.17143,119.74352,Australia,
Menzies,Beryllium,Non-pegmatite,-29.943333,121.126111,Australia,
Londonderry,Beryllium,Pegmatite,-30.95,121.15,Australia,
Finniss River,Beryllium,Pegmatite,-12.95,130.45,Australia,
Wycheproof,Beryllium,Pegmatite,-36.083333,143.233333,Australia,
Mole Granite,Beryllium,Non-pegmatite,-30.5143425,151.6669644,Australia,
Torrington,Beryllium,Non-pegmatite,-29.313089,151.681915,Australia,
Habachtal,Beryllium,Non-pegmatite,47.2,12.366667,Austria,
Weinebene,Beryllium,Pegmatite,46.839167,14.991944,Austria,
Diabazovoe,Beryllium,Non-pegmatite,52.23333,27.86667,Belarus,
Rondonia,Beryllium,Non-pegmatite,-11,-63,Brazil,
Santa Terezinha de Goiás,Beryllium,Non-pegmatite,-14.4333333,-49.69556,Brazil,
Taquaral,Beryllium,Pegmatite,-21.071944,-48.410278,Brazil,
Minas Gerais,Beryllium,Be Type Rare-Metal Pegmatite,-19.8167,-43.95,Brazil,
Humaitá,Beryllium,Pegmatite,-21.7697222,-43.4902778,Brazil,
Jaguaraçú,Beryllium,Pegmatite,-19.525807,-42.641126,Brazil,
Aracuai,Beryllium,Pegmatite,-16.778611,-41.910556,Brazil,
Maxixe,Beryllium,Pegmatite,-16.803611,-41.89,Brazil,
Brumado,Beryllium,Non-pegmatite,-14.233333,-41.666667,Brazil,
Galiléia,Beryllium,Pegmatite,-18.9963,-41.5348,Brazil,
Sapucaia,Beryllium,Pegmatite,-18.900833,-41.484444,Brazil,
Lavra do Urucum,Beryllium,Pegmatite,-19.023056,-41.46,Brazil,
Socotó,Beryllium,Non-pegmatite,-10.3101,-40.8108,Brazil,
Carnaiba,Beryllium,Non-pegmatite,-10.39785,-40.582272,Brazil,
Rila Mountains,Beryllium,Pegmatite,42.1333,23.55,Bulgaria,
Logtung,Beryllium,Non-pegmatite,60,-131.6,Canada,
Finlayson Lake,Beryllium,Non-pegmatite,61.691389,-130.773889,Canada,
Yellowknife field,Beryllium,Pegmatite,62.442222,-114.3975,Canada,
FI,Beryllium,Pegmatite,62.50012,-113.00135,Canada,
Violet,Beryllium,Pegmatite,54.887336,-100.021786,Canada,
High Grade Dyke pegmatite,Beryllium,Pegmatite,56.6153,-95.8360999,Canada,
Shatford Lake,Beryllium,Pegmatite,50.3918999,-95.4999999,Canada,
Bernic Lake,Beryllium,Be Type Rare-Metal Pegmatite,50.4172688,-95.4361725,Canada,
Buck-Coe-Pegli pegmatite,Beryllium,Pegmatite,50.417801,-95.385017,Canada,
Silver Leaf-Greer Lake,Beryllium,Pegmatite,50.3505999,-95.2686,Canada,
Yitt pegmatite,Beryllium,Pegmatite,51.7273,-91.8228,Canada,
Nama Creek,Beryllium,Pegmatite,49.000019,-86.999977,Canada,
James Bay (Lithium One),Beryllium,Be Type Rare-Metal Pegmatite,52.201414,-78.506203,Canada,
Height of Land Mine,Beryllium,Pegmatite,48.426944,-78.345278,Canada,
Québec Lithium,Beryllium,Pegmatite,48.410833,-77.809167,Canada,
Beryl Pit,Beryllium,Pegmatite,45.314167,-77.378333,Canada,
Matthews Yankee,Beryllium,Pegmatite,44.583309,-76.41629,Canada,
Mont Saint-Hilaire,Beryllium,Non-pegmatite,45.562778,-73.141667,Canada,
New Brunswick,Beryllium,Non-pegmatite,46.5653163,-66.4619164,Canada,
Nova Scotia,Beryllium,Non-pegmatite,44.6819866,-63.744311,Canada,
Prince Edward Island,Beryllium,Non-pegmatite,46.23824,-63.1310704,Canada,
Mann #1,Beryllium,Non-pegmatite,54.233333,-62.383333,Canada,
Seal Lake,Beryllium,Peralkaline intrusion Be,54.233333,-62.383333,Canada,
Nain Complex,Beryllium,Non-pegmatite,56.522222,-61.528056,Canada,
Barkam,Beryllium,Pegmatite,31.905324,102.212808,China,
Jiuquling,Beryllium,Pegmatite,22.933333,111.958333,China,
Nanshan,Beryllium,Pegmatite,22.53301,113.93047,China,
Shirenzhang-Meiziwo,Beryllium,Pegmatite,24.8,114.225,China,
Huanggang,Beryllium,Pegmatite,30.45,114.8,China,
Baishizhang,Beryllium,Pegmatite,24.016667,115.533333,China,
Huangzhen-Zhujiachong,Beryllium,Pegmatite,30.466667,116.15,China,
Wanfengshan,Beryllium,Non-pegmatite,23.8911111,116.6263889,China,
Shixi,Beryllium,Non-pegmatite,30.583333,119.875,China,
Baerzhe,Beryllium,Non-pegmatite,45.455556,120.475,China,
Dongshanwan,Beryllium,Pegmatite,45.98115,127.80394,China,
Peñas Blancas,Beryllium,Non-pegmatite,5.501389,-75.776389,Colombia,
Muzo,Beryllium,Non-pegmatite,5.531389,-74.103889,Colombia,
Gachalá,Beryllium,Non-pegmatite,4.699167,-73.522778,Colombia,
Somondoco,Beryllium,Non-pegmatite,4.983333,-73.428056,Colombia,
Chivor,Beryllium,Non-pegmatite,4.903611,-73.368889,Colombia,
Otov,Beryllium,Pegmatite,49.4865,12.8425,Czech Republic,
Sušice,Beryllium,Pegmatite,49.23106,13.52018,Czech Republic,
Bližná,Beryllium,Pegmatite,48.72242,14.09516,Czech Republic,
Kostelní Vydrí,Beryllium,Pegmatite,49.1078,15.4228,Czech Republic,
Kracovice,Beryllium,Pegmatite,49.19383,15.84026,Czech Republic,
Vežná,Beryllium,Pegmatite,49.447778,16.274722,Czech Republic,
Sekeit,Beryllium,Non-pegmatite,24.7,34.775,Egypt,
Cornwall,Beryllium,Non-pegmatite,50.130833,-5.701389,England,
Eujaroki,Beryllium,Non-pegmatite,61.2023562,21.7339845,Finland,
Rosendal,Beryllium,Pegmatite,60.11222,22.57444,Finland,
Kimito,Beryllium,Pegmatite,60.1639,22.7278,Finland,
Hirvikallio,Beryllium,Pegmatite,60.72633377,23.62108218,Finland,
Pyörönmaa,Beryllium,Pegmatite,61.31508,23.97687,Finland,
Kangasala,Beryllium,Pegmatite,61.466667,24.066667,Finland,
